planSource,curated_type,notes,source_type,volume_Mgal,operator_clean,dep_score,dep_src,dep_type
B8,impoundment,,ambiguous,18.35,pennenergy resources,33.3333333333,BUSH,surface_water
B39,impoundment,,ambiguous,12.59,pennenergy resources,50,RW-39,groundwater
W32,impoundment,,ambiguous,12.51,pennenergy resources,57.1428571429,PW13,groundwater
W16,impoundment,,ambiguous,11.96,pennenergy resources,66.6666666667,WP1,groundwater
B37,impoundment,,ambiguous,7.98,pennenergy resources,50,S - 237,groundwater
Parys Water Immpoundment,impoundment,,ambiguous,3.95,chesapeake appalachia,71.7948717949,RES IMPOUNDMENT,surface_water
B12,impoundment,,ambiguous,3.47,pennenergy resources,50,SWW 2,surface_water
Isabell Impounment (Chesapeake),impoundment,,ambiguous,3.23,blackhill energy,64.5161290323,CHESAPEAKE APPALACHIA INTC,interconnection
Containment Water,impoundment,,ambiguous,2.85,eqt chap,70.9677419355,MENNO WATER CO INTC,interconnection
W56,impoundment,,ambiguous,0.23,pennenergy resources,57.1428571429,PW15,groundwater
Cratty Pad Freshwater Storage Tank (AST),impoundment,,ambiguous,0.07,xto energy,73.6842105263,STORAGE WELL,groundwater
B24,impoundment,,ambiguous,0.01,pennenergy resources,50,SWW 2,surface_water
B25,impoundment,,ambiguous,0.01,pennenergy resources,50,SWW 2,surface_water
B5,impoundment,,ambiguous,0.01,pennenergy resources,40,CWOB051W,groundwater
B7,impoundment,,ambiguous,0.01,pennenergy resources,40,PW7,groundwater
W9,impoundment,,ambiguous,0.01,pennenergy resources,40,WP1,groundwater
W23,impoundment,,ambiguous,0.01,pennenergy resources,57.1428571429,PW13,groundwater
"Fresh Impoudment Miller, No Docket associated",impoundment,,ambiguous,0.01,repsol oil & gas usa,62.5,FRESH WATER,groundwater
B&B Investment Group Freshwater Imp,impoundment,,ambiguous,0,chesapeake appalachia,70.5882352941,HIERONIMUS#2 FRESHWATER IMPOUNDMENT,surface_water
