nhd_id,nhd_name,nhd_ftype,nhd_layer,unique_sources,unique_wells,volume_Mgal,median_score,median_dist_km
66408521,Susquehanna River,558.0,flowline,44,505,4552.65,100.0,5.6
66392615,Tunkhannock Creek,460.0,flowline,56,596,3897.87,100.0,27.9
123862354,Allegheny River,558.0,flowline,20,129,3773.26,100.0,5.9
66404293,Meshoppen Creek,558.0,flowline,83,645,2931.77,100.0,8.2
99686060,Ohio River,558.0,flowline,11,292,2739.33,100.0,26.5
43482891,Susquehanna River,558.0,flowline,45,546,2452.27,100.0,49.5
99412026,Monongahela River,558.0,flowline,35,226,1885.91,100.0,15.2
73874006,North Fork Dunkard Fork,460.0,flowline,5,118,1848.06,87.8048780487805,0.2
66909823,Lycoming Creek,558.0,flowline,26,104,1841.6,100.0,4.5
99418400,Monongahela River,558.0,flowline,15,76,1472.98,100.0,7.6
66396793,Susquehanna River,558.0,flowline,53,525,1443.71,100.0,42.2
73867740,Ohio River,558.0,flowline,7,123,1413.85,100.0,28.6
123972854,Allegheny River,558.0,flowline,7,68,1205.8,100.0,8.6
66908151,Loyalsock Creek,558.0,flowline,45,212,1182.97,100.0,12.7
66391741,Martins Creek,460.0,flowline,31,442,906.87,100.0,22.4
66393113,East Branch Wyalusing Creek,460.0,flowline,22,300,903.25,100.0,5.4
57349837,Cowanesque River,558.0,flowline,20,65,884.16,100.0,10.8
69913267,Sewickley Creek,558.0,flowline,3,13,805.48,100.0,5.5
69914033,Youghiogheny River,558.0,flowline,6,50,773.85,100.0,14.4
66909693,Loyalsock Creek,558.0,flowline,10,45,662.03,100.0,9.2
66396873,Wyalusing Creek,558.0,flowline,22,97,611.35,100.0,5.8
66404117,Towanda Creek,558.0,flowline,38,165,591.31,100.0,12.3
123856763,Mahoning Creek,558.0,flowline,2,24,539.15,100.0,2.8
66401907,Towanda Creek,558.0,flowline,4,78,524.89,100.0,1.6
126216397,Connoquenessing Creek,558.0,flowline,6,24,512.74,100.0,10.4
66912735,Loyalsock Creek,558.0,flowline,9,41,508.75,100.0,5.4
66402961,Wyalusing Creek,558.0,flowline,3,23,491.42,100.0,0.4
125292343,Kiskiminetas River,558.0,flowline,1,11,479.56,100.0,2.8
73878122,Fish Creek,558.0,flowline,1,44,435.51,100.0,8.1
69912331,Little Sewickley Creek,460.0,flowline,2,15,418.97,100.0,1.9
66535313,Marsh Creek,460.0,flowline,1,29,416.96,100.0,4.8
57352913,Fellows Creek,460.0,flowline,7,48,392.93,100.0,1.6
99411452,Little Tenmile Creek,460.0,flowline,4,27,392.25,82.92682926829268,4.5
166905492,Monongahela River,558.0,flowline,4,28,389.48,100.0,21.2
46462625,Choconut Creek,558.0,flowline,11,70,375.76,100.0,11.7
125294379,Beaver Run Reservoir,390.0,waterbody,6,17,372.43,100.0,4.9
43486867,Susquehanna River,558.0,flowline,19,106,365.94,100.0,14.9
66400965,North Branch Sugar Creek,460.0,flowline,5,54,338.22,100.0,10.5
66399085,Meshoppen Creek,460.0,flowline,26,103,336.68,100.0,4.6
66541285,Pine Creek,558.0,flowline,11,33,333.76,100.0,14.85
61116397,West Branch Susquehanna River,558.0,flowline,3,12,324.73,100.0,9.9
67178318,Little Fishing Creek,460.0,flowline,3,32,310.13,91.89189189189189,3.5
102671699,Clarion River,558.0,flowline,3,10,296.32,100.0,3.0
123971889,Buffalo Creek,558.0,flowline,6,30,292.38,100.0,7.5
126218603,Connoquenessing Creek,558.0,flowline,9,22,289.76,100.0,1.7
73871726,Enlow Fork,558.0,flowline,9,52,289.25,100.0,1.4
126221696,Thorn Creek,558.0,flowline,5,16,262.87,100.0,3.7
123858488,Crooked Creek,558.0,flowline,1,11,256.54,100.0,3.9
99684172,Raccoon Creek,558.0,flowline,2,23,246.17,96.0,3.4
57352857,Fall Brook,558.0,flowline,13,85,239.24,100.0,8.9
66911253,Lycoming Creek,558.0,flowline,6,34,223.29,87.5,2.8
99684474,Ohio River,558.0,flowline,6,42,215.03,100.0,5.0
126220431,Brush Creek,460.0,flowline,3,20,207.38,100.0,11.2
123973812,Buffalo Creek,558.0,flowline,2,6,193.78,100.0,3.2
57350471,Cowanesque River,558.0,flowline,10,36,178.08,100.0,13.5
66402477,Tunkhannock Creek,558.0,flowline,13,98,176.24,100.0,15.8
73877908,Fish Creek,558.0,flowline,3,14,168.22,100.0,18.4
